,Pulled_ID,Pulled_Movie_Name,Pulled_Release_Date,Budget,Revenue,Profit,Preformer,Gender
122,513083,Wine Country,2019-05-08,0,0,0,Amy Poehler,1
123,457917,Bomb Scared,2017-12-08,0,0,0,Javier Cámara,2
124,373453,Brahman Naman,2016-01-24,0,0,0,Shashank Arora,2
125,773998,Double Dad,2021-01-15,0,0,0,Maisa Silva,1
126,623195,Falling Inn Love,2019-09-04,0,0,0,Christina Milian,1
127,395841,Hold the Dark,2018-09-22,0,0,0,Jeffrey Wright,2
128,644090,"Love, Guaranteed",2020-09-02,0,0,0,Rachael Leigh Cook,1
129,682426,One-Way to Tomorrow,2020-06-19,0,0,0,Metin Akdülger,2
130,732359,Sarah Cooper: Everything's Fine,2020-10-27,0,0,0,Sarah Cooper,1
131,571451,The Last Laugh,2019-01-11,0,0,0,Chevy Chase,2
132,746422,The Last Paradiso,2021-02-05,0,0,0,Riccardo Scamarcio,2
133,614911,The Midnight Sky,2020-12-10,0,0,0,George Clooney,2
134,701175,The Paramedic,2020-09-16,0,0,0,Mario Casas,2
135,626393,The Sleepover,2020-08-21,0,0,0,Joanna Herrington,1
136,567971,Vampires vs. the Bronx,2020-10-02,0,0,0,Jaden Michael,2
137,810731,Why Did You Kill Me?,2021-04-14,0,0,0,Belinda Lane,0
138,699102,A Week Away,2021-03-26,0,0,0,Bailee Madison,1
139,694256,Caught by a Wave,2021-03-25,2000000,0,-2000000,Elvira Camarrone,0
140,449755,Christmas Inheritance,2017-12-15,10000000,0,-10000000,Eliza Taylor,1
141,737802,Dad Wanted,2020-09-11,0,0,0,Natalia Coronado,0
142,485504,El Camino Christmas,2017-12-08,0,0,0,Luke Grimes,2
143,483202,Eli,2019-10-18,0,0,0,Charlie Shotwell,2
144,744676,Ginny Weds Sunny,2020-10-09,0,0,0,Yami Gautam,1
145,602609,Good Sam,2019-05-16,0,0,0,Tiya Sircar,1
146,9399,Lionheart,1990-06-07,6000000,24271196,18271196,Jean-Claude Van Damme,2
147,346671,Little Evil,2017-08-08,0,0,0,Adam Scott,2
148,679063,BNK48: One Take,2020-04-01,0,0,0,,
149,561230,"Out of Many, One",2018-12-12,0,0,0,Ruth Bader Ginsburg,1
150,531503,Point Blank,2019-07-12,0,0,0,Anthony Mackie,2
151,745078,Prime Time,2021-01-30,0,0,0,Bartosz Bielenia,2
152,389053,The Do-Over,2016-05-27,0,0,0,Adam Sandler,2
153,555850,The Holiday Calendar,2018-11-02,0,0,0,Kat Graham,1
154,520663,The Woman in the Window,2021-05-14,4000000,0,-4000000,Amy Adams,1
155,582596,The Wrong Missy,2020-05-13,0,0,0,David Spade,2
156,463684,Velvet Buzzsaw,2019-02-01,21000000,0,-21000000,Jake Gyllenhaal,2
157,638597,Yes Day,2021-03-12,0,0,0,Jennifer Garner,1
158,585836,15 August,2019-03-29,0,0,0,Rahul Pethe,0
159,768520,A California Christmas,2020-12-14,0,0,0,Lorynn York,1
160,483104,A Christmas Prince,2017-11-17,0,0,0,Rose McIver,1
161,530956,All Day and a Night,2020-05-01,0,0,0,Ashton Sanders,2
162,622963,American Son,2019-09-12,0,0,0,Kerry Washington,1
163,397717,Barry,2016-09-10,0,0,0,Devon Terrell,2
164,507143,Candy Jar,2018-04-27,0,0,0,Sami Gayle,1
165,706783,Choked: Paisa Bolta Hai,2020-06-05,0,0,0,Saiyami Kher,1
166,730428,Class of '83,2020-08-21,0,0,0,Bobby Deol,2
167,429415,Extinction,2018-07-26,0,1451864,1451864,Michael Peña,2
168,451563,Happy Anniversary,2018-03-30,0,0,0,Noël Wells,1
169,823855,I Am All Girls,2021-05-14,0,0,0,Erica Wessels,1
170,295151,Let It Snow,2019-11-08,0,0,0,Joan Cusack,1
171,368993,Mascots,2016-10-11,20000000,0,-20000000,Zach Woods,2
172,738646,Operation Christmas Drop,2020-11-05,0,0,0,Kat Graham,1
173,494950,Rajma Chawal,2018-10-13,0,0,0,Rishi Kapoor,2
174,180576,Rich in Love,1992-10-01,0,0,0,Albert Finney,2
175,658751,Rising High,2020-04-17,0,0,0,David Kross,2
176,454854,Rodney King,2017-04-28,0,0,0,Roger Guenveur Smith,2
177,462919,Sierra Burgess Is a Loser,2018-09-07,0,0,0,Shannon Purser,1
178,411405,Small Crimes,2017-04-28,0,0,0,Nikolaj Coster-Waldau,2
179,355008,Special Correspondents,2016-04-22,0,0,0,Ricky Gervais,2
180,411143,Tau,2018-06-29,0,0,0,Maika Monroe,1
181,538604,The After Party,2018-08-24,0,0,0,Shelley Hennig,1
182,623491,The Babysitter: Killer Queen,2020-09-10,0,0,0,Judah Lewis,2
183,767896,The Claus Family,2020-12-07,0,0,0,Jan Decleir,2
184,583083,The Kissing Booth 2,2020-07-24,0,0,0,Joey King,1
185,543540,The Perfect Date,2019-04-12,0,0,0,Camila Mendes,1
186,754800,What We Wanted,2020-11-11,0,0,0,Lavinia Wilson,1
187,746957,You've Got This,2020-10-02,0,0,0,Mauricio Ochmann,2
188,500634,6 Balloons,2018-03-12,0,0,0,Abbi Jacobson,1
189,651070,A Fall from Grace,2020-01-17,0,0,0,Crystal R. Fox,1
190,515333,Amateur,2018-04-06,0,0,0,Michael Rainey Jr.,2
191,503736,Army of the Dead,2021-05-14,70,780000,779930,Dave Bautista,2
192,777350,Dory's Reef Cam,2020-12-18,0,0,0,,
193,513409,Earthquake Bird,2019-11-01,0,0,0,Alicia Vikander,1
194,612701,"Frankenstein's Monster's Monster, Frankenstein",2019-07-16,0,0,0,David Harbour,2
195,653601,Horse Girl,2020-01-27,0,0,0,Alison Brie,1
196,550860,Notes from Dunblane: Lessons from a School Shooting,2018-09-28,0,0,0,Father Bob Weiss,0
197,686919,Maska,2020-03-27,0,0,0,Manisha Koirala,1
198,21137,The Decline of Western Civilization,1981-07-01,100000,0,-100000,Alice Bag,0
199,774054,The Minimalists: Less Is Now,2021-01-01,84919,0,-84919,Joshua Fields Millburn,0
200,419472,The Polka King,2017-01-22,0,0,0,Jack Black,2
201,611213,The Prom,2020-12-02,0,0,0,Meryl Streep,1
202,339396,True Memoirs of an International Assassin,2016-11-11,40000000,0,-40000000,Kevin James,2
203,668195,Ultras,2020-03-09,0,0,0,Aniello Arena,2
204,430446,Come Sunday,2018-01-21,0,0,0,Chiwetel Ejiofor,2
205,70548,Forgive Us Our Debts,1991-01-01,0,0,0,,
206,414190,iBoy,2017-01-27,1500000,0,-1500000,Bill Milner,2
207,559082,Lovefucked,2018-10-26,0,0,0,Rohit Kokate,0
208,581475,Juanita,2019-03-08,0,0,0,Alfre Woodard,1
209,514999,Murder Mystery,2019-05-25,24000000,0,-24000000,Adam Sandler,2
210,605116,Project Power,2020-08-14,0,0,0,Jamie Foxx,2
211,505379,Rebecca,2020-10-16,0,0,0,Lily James,1
212,654028,The Christmas Chronicles: Part Two,2020-11-18,0,0,0,Kurt Russell,2
213,454983,The Kissing Booth,2018-05-11,0,0,0,Joey King,1
214,556803,The Princess Switch,2018-11-16,0,0,0,Vanessa Hudgens,1
215,565426,To All the Boys: P.S. I Still Love You,2020-02-12,0,0,0,Lana Condor,1
216,354287,War Machine,2017-05-26,60000000,0,-60000000,Brad Pitt,2
217,509967,6 Underground,2019-12-10,150000000,0,-150000000,Ryan Reynolds,2
218,584962,Between Two Ferns: The Movie,2019-09-20,0,0,0,Zach Galifianakis,2
219,426265,Burning Sands,2017-01-24,0,0,0,Trevor Jackson,2
220,430826,Casting JonBenet,2017-04-28,0,0,0,Hannah Cagwin,1
221,428687,Deidra & Laney Rob a Train,2017-01-23,0,0,0,Ashleigh Murray,1
222,644092,Finding 'Ohana,2021-01-29,0,0,0,Kea Peahu,1
223,615665,Holidate,2020-10-27,0,0,0,Emma Roberts,1
224,531438,Holiday in the Wild,2019-11-06,0,0,0,Rob Lowe,2
225,318256,Hot Girls Wanted,2015-05-29,0,0,0,Ava Taylor,1
226,38322,"Big Mommas: Like Father, Like Son",2011-02-16,32000000,83615414,51615414,Martin Lawrence,2
227,567970,Lost Girls,2020-01-28,0,0,0,Amy Ryan,1
228,531509,Otherhood,2019-08-13,0,0,0,Angela Bassett,1
229,347689,Pee-wee's Big Holiday,2016-03-15,0,0,0,Paul Reubens,2
230,671039,Rogue City,2020-10-30,0,0,0,Lannick Gautry,2
231,653744,Sergio,2020-01-28,16000000,0,-16000000,Wagner Moura,2
232,646955,Stuck Apart,2021-01-08,0,0,0,Engin Günaydın,2
233,666649,Tersanjung: The Movie,2021-04-01,0,0,0,Clara Bernadeth,0
234,548064,You Might Be the Killer,2018-09-21,0,0,0,Fran Kranz,2
235,576156,The Lovebirds,2020-05-22,0,0,0,Issa Rae,1
236,401743,The Most Hated Woman in America,2017-03-24,0,0,0,Melissa Leo,1
237,529962,The Perfection,2018-09-20,0,0,0,Allison Williams,1
238,744991,Tribhanga,2021-01-15,0,0,0,Kajol,1
239,438396,Unknown Origins,2020-08-28,3268650,0,-3268650,Javier Rey,2
240,612706,Work It,2020-08-07,0,0,0,Sabrina Carpenter,1
241,656561,Alien Xmas,2020-11-20,0,0,0,Dee Bradley Baker,2
242,694254,Baggio: The Divine Ponytail,2021-05-26,0,0,0,Andrea Arcangeli,2
243,182228,100 Degrees Below Zero,2013-03-29,500000,0,-500000,John Rhys-Davies,2
244,755340,Citation,2020-11-05,0,0,0,Jimmy Jean-Louis,2
245,655832,Crazy Awesome Teachers,2020-08-17,0,0,0,Gading Marten,0
246,826844,Have You Ever Seen Fireflies? - Theatre Play,,0,0,0,,
247,510498,High Flying Bird,2019-01-27,0,0,0,André Holland,2
248,530382,In the Shadow of the Moon,2019-09-27,0,0,0,Boyd Holbrook,2
249,239889,JFK: The Lost Bullet,2011-11-17,0,0,0,,
250,726940,Octonauts and the Caves of Sac Actun,2020-08-14,0,0,0,Simon Greenall,2
251,673174,Offering to the Storm,2020-07-24,5989313,0,-5989313,Marta Etura,1
252,426257,"Roxanne, Roxanne",2017-01-22,0,0,0,Chanté Adams,1
253,515248,Someone Great,2019-04-19,0,0,0,Gina Rodriguez,1
254,581600,Spenser Confidential,2020-03-06,0,0,0,Mark Wahlberg,2
255,452731,The Land of Steady Habits,2018-09-12,0,0,0,Ben Mendelsohn,2
256,510073,The Rachel Divide,2018-04-23,0,0,0,Rachel Dolezal,0
257,397442,Win It All,2017-03-11,0,0,0,Jake Johnson,2
258,452507,1922,2017-10-20,0,0,0,Thomas Jane,2
259,602760,A Tale of Two Kitchens,2019-05-22,0,0,0,Gabriela Cámara,0
260,511785,Alex Strangelove,2018-04-16,0,0,0,Daniel Doheny,2
261,424121,Apostle,2018-09-21,0,0,0,Dan Stevens,2
262,495193,Benji,2018-03-02,0,0,0,Gabriel Bateman,2
263,400106,Bright,2017-12-22,90000000,0,-90000000,Will Smith,2
264,425972,Cargo,2017-10-06,0,56385,56385,Martin Freeman,2
265,621954,Concrete Cowboy,2020-09-10,0,0,0,Idris Elba,2
266,707886,Feel the Beat,2020-06-19,0,0,0,Sofia Carson,1
267,799497,Get the Goat,2021-03-18,0,0,0,Edmilson Filho,2
268,515841,I Am Not an Easy Man,2018-04-13,0,0,0,Vincent Elbaz,2
269,505003,Carter & June,2018-05-18,0,0,0,Michael Raymond-James,2
270,596178,Music Teacher,2018-09-08,0,0,0,Manav Kaul,2
271,824865,Nail Bomber: Manhunt,2021-05-26,0,0,0,Tony Blair,2
272,674865,Notes for My Son,2020-11-24,0,0,0,Valeria Bertuccelli,1
273,483906,Polar,2019-01-25,0,0,0,Mads Mikkelsen,2
274,390054,Sand Castle,2017-04-21,0,0,0,Logan Marshall-Green,2
275,457962,Shimmer Lake,2017-06-09,0,0,0,Rainn Wilson,2
276,324670,Spectral,2016-12-09,70000000,0,-70000000,James Badge Dale,2
277,623491,The Babysitter: Killer Queen,2020-09-10,0,0,0,Judah Lewis,2
278,376134,The Discovery,2017-03-31,0,0,0,Jason Segel,2
279,631997,The Forest of Love,2019-10-11,0,0,0,Kippei Shiina,2
280,517909,The Laundromat,2019-09-27,0,0,0,Meryl Streep,1
281,589023,The Legend of Cocaine Island,2018-04-20,0,0,0,Rodney Hyden,0
282,199928,The Outsider,2018-03-09,0,0,0,Jared Leto,2
283,571785,Time to Hunt,2020-02-22,9070000,0,-9070000,Lee Je-hoon,2
284,614409,To All the Boys: Always and Forever,2021-02-12,0,0,0,Lana Condor,1
285,625561,Travis Scott: Look Mom I Can Fly,2019-08-28,0,0,0,Travis Scott,2
286,660609,Uncorked,2020-03-27,0,0,0,Mamoudou Athie,0
287,726649,Anelka: Misunderstood,2020-08-05,0,0,0,Nicolas Anelka,2
288,774372,"ariana grande: excuse me, i love you",2020-12-21,0,0,0,Ariana Grande,1
289,410199,ARQ,2016-09-16,2000000,0,-2000000,Robbie Amell,2
290,632602,Birders,2019-09-25,0,0,0,Esteban Berrones,0
291,654299,Out Of The Clear Blue Sky,2019-12-24,0,0,0,Omar Chaparro,2
292,502122,First Match,2018-03-12,0,0,0,Elvire Emanuelle,1
293,568091,Fractured,2019-09-22,0,0,0,Sam Worthington,2
294,450489,Irreplaceable You,2018-02-16,10000000,0,-10000000,Gugu Mbatha-Raw,1
295,658760,Isi & Ossi,2020-02-14,0,0,0,Lisa Vicari,1
296,656353,John Was Trying to Contact Aliens,2020-01-23,0,0,0,John Shepherd,0
297,655830,Layla Majnun,2021-02-11,0,0,0,Reza Rahadian,2
298,690596,Murder to Mercy: The Cyntoia Brown Story,2020-04-29,0,0,0,Cyntoia D. Brown,1
299,285595,My Own Man,2014-03-06,0,0,0,,
300,519035,Nappily Ever After,2018-09-21,0,0,0,Sanaa Lathan,1
301,560050,Over the Moon,2020-10-16,0,0,0,Cathy Ang,1
302,614488,Street Flow,2019-10-12,0,0,0,Bakary Diombera,2
303,428612,Strong Island,2017-01-23,0,0,0,Yance Ford,2
304,624989,Sturgill Simpson Presents Sound & Fury,2019-09-27,0,0,0,Sturgill Simpson,2
305,502166,Take Your Pills,2018-03-09,0,0,0,Eben Britton,0
306,672745,The Heartbreak Club,2021-01-14,0,0,0,Bhisma Mulia,0
307,433878,The Mars Generation,2017-01-20,0,0,0,Bill Nye,2
308,711715,The Current Occupant,2020-07-17,0,0,0,Barry Watson,2
309,560044,The Willoughbys,2020-04-22,0,0,0,Will Forte,2
310,399361,Triple Frontier,2019-03-06,0,0,0,Ben Affleck,2
311,549599,Two Catalonias,2018-09-28,0,0,0,Carles Puigdemont,2
312,581420,Walk. Ride. Rodeo.,2019-03-08,0,0,0,Spencer Locke,1
313,471014,Wheelman,2017-10-20,0,0,0,Frank Grillo,2
314,433310,When We First Met,2018-02-09,10000000,0,-10000000,Adam DeVine,2
315,617331,A 3 Minute Hug,2018-11-20,0,0,0,,
316,342470,All the Bright Places,2020-02-28,0,0,0,Elle Fanning,1
317,615466,All Together Now,2020-08-28,0,0,0,Auli'i Cravalho,1
318,665251,Altered Carbon: Resleeved,2020-03-19,0,0,0,Tatsuhisa Suzuki,2
319,589116,Antoine Griezmann: The Making of a Legend,2019-03-21,0,0,0,Antoine Griezmann,2
