,title,run_t
260,Joe Versus the Volcano,102
261,Adventureland,
262,Ben-Hur,123
263,John Q,116
264,My Days of Mercy,108
265,Pete's Dragon,128
266,The Last Boy Scout,105
267,The Promise,133
268,The Secret of NIMH,82
269,Crossroads,93
270,The Producers,134
271,The Angel,114
272,The Beverly Hillbillies,92
273,Pee-wee's Big Adventure,91
274,Anomalisa,90
275,Hard Eight,102
276,Creepshow 2,92
277,Species II,93
278,Hudson Hawk,100
279,Bicentennial Man,132
280,Winter's Tale,118
281,Escape to Witch Mountain,97
282,Get Shorty,105
283,He's Out There,89
284,The Possession of Hannah Grace,86
285,Hondo,83
286,The Rescuers Down Under,
287,Somewhere in Time,103
288,Stuart Little 2,77
289,All the Boys Love Mandy Lane,
290,K-19: The Widowmaker,138
291,Miss Congeniality 2: Armed & Fabulous,115
292,Meet the Spartans,86
293,Martha Marcy May Marlene,102
294,A-X-L,
295,The Bye Bye Man,96
296,Double Impact,110
297,Inspector Gadget,78
298,Scary Movie 4,83
299,The 33,127
300,When a Stranger Calls,97
301,Frozen,93
302,Breaking Away,101
303,Heaven Knows What,97
304,True Crime,127
305,Dracula 2000,99
306,Muppets Most Wanted,107
307,Mirrors,110
308,Into the Grizzly Maze,94
309,Uptown Girls,92
310,Blue Chips,108
311,The Only Living Boy in New York,89
312,The Switch,101
313,Jungle 2 Jungle,105
314,Airheads,92
315,Regression,106
316,Deadgirl,101
317,Safety Not Guaranteed,
318,Glory Road,118
319,Bridget Jones's Baby,123
320,Mermaids,110
321,Invincible,105
322,The Bounty,132
323,The Human Stain,106
324,The Devil's Own,111
325,I Spy,97
326,Oscar,109
327,Fly Away Home,107
328,She's Having a Baby,106
329,August Rush,114
330,The Great Debaters,126
331,Gigli,121
332,Speak,89
333,Friends with Kids,107
334,Driveways,83
335,The Hidden,97
336,Vampires Suck,82
337,The Rookie,127
338,Palo Alto,100
339,Ultraviolet,88
340,Diary of a Wimpy Kid: The Long Haul,91
341,Middle Men,105
342,The Man Who Knew Infinity,108
343,Don't Be Afraid of the Dark,99
344,MacGruber,90
345,Extremely Loud & Incredibly Close,129
346,Appaloosa,115
347,Shanghai Noon,110
348,Baby Boy,130
349,The Blob,86
350,The Man Who Laughs,110
351,Semi-Pro,91
352,Gilda,110
353,Silver Streak,114
354,88 Minutes,108
355,King Solomon's Mines,100
356,Like Mike,99
357,The Bonfire of the Vanities,125
358,Heaven Can Wait,101
359,A Midsummer Night's Dream,116
360,Arctic Dogs,92
361,Ice Age: Dawn of the Dinosaurs,94
362,The Sisterhood of the Traveling Pants 2,119
363,A Star Is Born,154
364,The Cobbler,99
365,Relic,89
366,My Name Is Khan,165
367,Balls of Fury,90
368,I Will Make You Mine,
369,Powder,111
370,Night on Earth,129
371,The Animal Kingdom,85
