Title,Language
Star Trek II: The Wrath of Khan,English
Shrek the Third,English
Brothers,English
The Best of Me,English
The Professor,English
Fun with Dick and Jane,English
Fun with Dick and Jane,Spanish
The Final Girls,English
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,English
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Romanian
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Hebrew
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Polish
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Armenian
Man on a Ledge,English
Man on a Ledge,Spanish
Better Watch Out,English
Hairspray,English
Deja Vu,English
A Fall from Grace,English
The Duchess,English
Spectral,English
Spectral,Russian
Spectral,Romanian
Spectral,Slovenian
I Spit on Your Grave,English
October Sky,English
The Glass Castle,English
The Darjeeling Limited,English
The Darjeeling Limited,Hindi
The Darjeeling Limited,German
The Darjeeling Limited,Punjabi
The Darjeeling Limited,Tibetan
The Darjeeling Limited,French
The Snowman,English
The Snowman,Russian
UglyDolls,English
A Most Wanted Man,Arabic
A Most Wanted Man,English
A Most Wanted Man,Turkish
Piranha 3DD,English
Pride,English
Pride,Welsh
Never Back Down,English
State of Play,English
State of Play,Cantonese
The Saint,English
The Saint,Russian
Shane,English
Death Wish,English
Death Wish,Italian
Death Wish,German
Death Wish,French
Heavyweights,English
How to Be Single,English
The Boss Baby,English
The Boss Baby,Spanish
D2: The Mighty Ducks,English
D2: The Mighty Ducks,Icelandic
Plus One,English
The Nutcracker and the Four Realms,English
The Nutcracker and the Four Realms,French
Vox Lux,English
Vox Lux,Croatian
Vox Lux,Chinese
Bedknobs and Broomsticks,English
Bedknobs and Broomsticks,German
10,English
The Frozen Ground,English
The Frozen Ground,French
Destroyer,English
James and the Giant Peach,English
The Last Castle,English
Dear John,English
Slither,English
Glengarry Glen Ross,English
Disclosure,English
Filth,English
Filth,German
Filth,Scots
Carmen Jones,English
P.S. I Love You,English
The Thomas Crown Affair,English
The Thomas Crown Affair,German
The Thomas Crown Affair,Polish
The Thomas Crown Affair,French
Lifeforce,English
We Bought a Zoo,English
We Bought a Zoo,Spanish
The Vow,English
Blue Ruin,English
Mechanic: Resurrection,English
Mechanic: Resurrection,Portuguese
Mechanic: Resurrection,Thai
Mechanic: Resurrection,Bulgarian
Dirty Rotten Scoundrels,English
Dirty Rotten Scoundrels,French
Friday the 13th: The Final Chapter,English
Ned Kelly,English
Girls Trip,English
Sabrina,English
Sabrina,French
Love Story,English
Galveston,English
A Perfect Murder,English
A Perfect Murder,Arabic
Evan Almighty,English
Dreamgirls,English
3022,English
3022,French
Fiddler on the Roof,English
Fiddler on the Roof,Hebrew
Fiddler on the Roof,Russian
Jersey Boys,English
Jersey Boys,Italian
Jersey Boys,French
Children of the Corn,English
Evolution,English
Cell,English
Rogue Warfare,English
The Night of the Hunter,English
The Game Plan,English
Pinocchio,English
Drillbit Taylor,English
Nanny McPhee Returns,English
Marley & Me,English
High School Musical 3,English
Lord of the Flies,English
Sliding Doors,English
The Interpreter,Aboriginal
The Interpreter,English
The Interpreter,French
The Interpreter,Portuguese
The Edge,English
Friday the 13th: A New Beginning,English
Queen of the Damned,English
Basic Instinct 2,English
The Dead Pool,English
Crown Vic,English
Maniac,English
The Woman,English
Beyond Skyline,English
Beyond Skyline,Indonesian
Badlands,English
Badlands,Spanish
Money Monster,English
Money Monster,Korean
Money Monster,Icelandic
Money Monster,Russian
Daddy Day Care,English
Daddy Day Care,Klingon
Daddy Day Care,German
The Angry Birds Movie,English
The Color of Money,English
The Color of Money,Spanish
The Clovehitch Killer,English
Disturbing Behavior,English
Son of the Mask,English
Dave,English
Dave,Spanish
"Hush...Hush, Sweet Charlotte",English
Thirteen Days,English
Thirteen Days,Russian
Thirteen Days,Spanish
Thirteen Days,Romanian
Outlander,English
Outlander,"Norse, Old"
Outlander,Latin
Joe Versus the Volcano,English
Adventureland,English
Ben-Hur,English
Ben-Hur,Persian
Ben-Hur,Greek
Ben-Hur,Arabic
John Q,English
John Q,Spanish
My Days of Mercy,English
Pete's Dragon,English
The Last Boy Scout,English
The Promise,English
The Promise,Armenian
The Promise,German
The Promise,French
The Promise,Turkish
The Secret of NIMH,English
Crossroads,English
The Producers,English
The Angel,English
The Angel,Hebrew
