Performer,Metascore
Dan Brennan,49.0
Dan Brown,72.0
Dan Bucatinsky,47.6
Dan Burman,17.0
Dan Bush,63.0
Dan Butler,51.666666666666664
Dan Byrd,52.166666666666664
Dan Callahan,43.2
Dan Campbell,26.0
Dan Carter,49.0
Dan Castellaneta,53.125
Dan Caudill,26.0
Dan Chen,43.0
Dan Comrie,30.0
Dan Conroy,45.0
Dan Considine,37.0
Dan Conway,71.0
Dan Cordell,49.0
Dan Corley,34.0
Dan Cortese,26.0
Dan Daily,69.0
Dan De Jaeger,51.5
Dan Desmond,60.0
Dan Domingues,33.0
Dan Dulle,72.0
Dan Duran,29.0
Dan Eggleston,70.0
Dan Eisenstein,69.0
Dan Etheridge,62.0
Dan Ferro,48.333333333333336
Dan Fey,48.0
Dan Finnerty,35.0
Dan Fitzgerald,53.0
Dan Flannery,86.0
Dan Fogelman,67.0
Dan Fogler,46.76470588235294
Dan Forest,56.0
Dan Frazer,65.0
Dan Fredenburgh,85.0
Dan Futterman,61.0
Dan Gatto,52.0
Dan Gauthier,46.0
Dan Gerrity,41.0
Dan Gill,42.25
Dan Green,15.0
Dan Greenburg,34.0
Dan Haggerty,48.0
Dan Hannafin,45.0
Dan Hedaya,58.81818181818182
Dan Herzberg,41.0
Dan Hicks,56.666666666666664
Dan Howard,61.0
Dan Hunter,47.0
Dan Inosanto,36.0
Dan Janjigian,9.0
Dan Joffre,36.0
Dan John Miller,72.0
Dan Johnson,61.0
Dan Kamin,39.0
Dan Kornfeld,23.0
Dan Kratochvil,69.0
Dan Lauria,47.75
Dan Leahy,72.0
Dan Leegant,40.0
Dan Leis,70.0
Dan Lemieux,15.0
Dan Lett,46.0
Dan Levy,48.0
Dan Lippert,72.0
Dan Mailley,43.0
Dan Mallinger,40.0
Dan Manning,50.0
Dan Marino,37.0
Dan Martin,46.0
Dan Martino,42.0
Dan Mason,67.0
Dan McCabe,60.0
Dan McComas,39.0
Dan McDougall,87.0
Dan McMillan,59.0
Dan Monahan,34.5
Dan Montgomery Jr.,41.0
Dan Moran,44.0
Dan Morgan,50.0
Dan O'Bannon,66.0
Dan O'Herlihy,60.2
Dan Parker,43.0
Dan Patrick,35.5
Dan Payne,62.0
Dan Perrault,51.0
Dan Ponce,49.0
Dan Resin,48.0
Dan Robbertse,22.0
Dan Roberts,45.0
Dan Sallitt,79.0
Dan Savier,48.0
Dan Schneider,52.0
Dan Schultz,32.0
Dan Schwarz,35.0
Dan Seely,72.0
Dan Shea,72.0
Dan Shor,62.0
Dan Snook,45.0
Dan Snow,41.5
Dan Soder,71.5
Dan Southworth,34.0
Dan Spencer,69.0
Dan Stanton,65.5
Dan Stevens,55.1764705882353
Dan Terranova,67.0
Dan Thiel,54.0
Dan Tobin,63.5
Dan Tullis Jr.,51.0
Dan Vadis,54.25
Dan W. Howell Sr.,38.0
Dan Waller,39.0
Dan Warry-Smith,30.5
Dan Washington,70.0
Dan Wray,67.0
Dan Wyllie,49.5
Dan Zanes,48.0
Dan Ziskie,45.0
Dan Zukovic,35.0
Dan'l Linehan,30.0
Dana Acheson,38.0
Dana Aliya Levinson,64.0
Dana Andersen,60.0
Dana Andrews,73.66666666666667
Dana Ashbrook,37.0
Dana Barron,52.5
Dana Belben,64.0
Dana Bratton,54.0
Dana Bunch,41.0
Dana Byrne,29.0
Dana Carvey,44.888888888888886
Dana Chaifetz,63.0
Dana Cook,30.0
Dana Daurey,11.0
Dana Davis,32.0
Dana DeVestern,63.0
Dana Dee,70.0
Dana Delany,43.0
Dana Dowell,59.0
Dana Drori,63.0
Dana Elcar,60.5
Dana Eskelson,55.166666666666664
Dana Falconberry,54.0
Dana Fuchs,56.0
Dana Gaier,61.0
Dana Gladstone,45.5
Dana Goodman,44.666666666666664
Dana Gould,55.0
Dana Gourrier,64.8
Dana Haas,58.0
Dana Healey,90.0
Dana Hill,53.666666666666664
Dana Ivey,53.92857142857143
Dana Jacks,72.0
Dana Joyce Schiller,44.0
Dana Julius,63.0
Dana Kimmell,47.5
Dana L. Wilson,64.0
Dana Laurita,55.0
Dana Lee,48.4
Dana Lustig,34.0
Dana Lyn Baron,20.0
Dana Lynne Gilhooley,65.0
Dana Melanie,74.0
Dana Michael Woods,45.0
Dana Millican,88.0
Dana Morgan,67.0
Dana O'Keefe,48.0
Dana Packard,28.0
Dana Raja,38.0
Dana Segal,59.0
Dana Snyder,54.0
Dana Stubblefield,37.0
Dana Varon,84.0
Dana Wheeler-Nicholson,52.857142857142854
Dana Wynter,67.0
Danae Nason,24.0
Danai Gurira,61.0
Danai Thiengdham,37.0
Dandy Barrett,32.0
Dane A. Davis,60.0
Dane Christensen,63.0
Dane Cook,35.5
Dane Davenport,76.0
Dane DeHaan,55.416666666666664
Dane Farwell,52.0
Dane Irwin,41.0
Dane Jones,67.0
Dane Loperena,72.0
Dane Martinez,76.0
Dane Northcutt,19.0
Dane Rhodes,43.375
Dane Stevens,46.0
Danelle Eliav,34.0
Daneya Mayid,37.0
Dang Quoc Thinh Tran,64.0
Dangelo Bonneli,65.0
Dani Faith,31.0
Dani Klein,56.0
Dani Marco,32.0
Dani Millan,28.0
Dani Santiago,78.0
Dani Sherrick,44.0
Dani Szabó,87.0
Dania Nassar,48.0
Dania Ramirez,45.833333333333336
Daniah De Villiers,52.0
Danial Brown,40.0
Danica Dias,24.0
Danica Jurcová,43.0
Danica McKellar,41.0
Daniel 'Cloud' Campos,45.0
Daniel Adebayo,44.0
Daniel Adegboyega,33.0
Daniel Ades,71.0
Daniel Aguera,56.0
Daniel Asher,62.0
Daniel Aukin,50.0
Daniel Auster,70.0
Daniel Bacon,52.25
Daniel Baldwin,31.0
Daniel Barela,39.0
Daniel Bargueño,46.0
Daniel Baron,48.0
Daniel Beaty,70.0
Daniel Beer,58.0
Daniel Bellomy,54.0
Daniel Benzali,39.25
Daniel Berger,61.0
Daniel Bernhardt,52.6
Daniel Berson,57.0
Daniel Bess,43.0
Daniel Betts,58.75
Daniel Black,43.0
Daniel Boiteau,73.0
Daniel Booko,31.0
Daniel Boulud,52.0
Daniel Breaker,51.0
Daniel Bristol,43.0
Daniel Brooks,69.0
Daniel Browne,38.0
Daniel Brühl,58.61538461538461
Daniel Burke,36.0
Daniel Butler,34.0
Daniel Byam Shaw,62.0
Daniel Caltagirone,46.0
Daniel Cantor,47.0
Daniel Cardona,49.0
Daniel Caruso,51.0
Daniel Casanova,55.0
Daniel Caton,46.0
Daniel Cerqueira,66.0
Daniel Chacón,60.0
Daniel Chai,60.0
Daniel Chapman,66.0
Daniel Chilson,45.0
Daniel Chodos,64.0
Daniel Clark,57.5
Daniel Cosgrove,22.0
Daniel Craig,56.55
Daniel Cresswell,65.0
Daniel Cudmore,43.4
Daniel Currie,49.0
Daniel Dae Kim,42.333333333333336
Daniel Davies,70.0
Daniel Davin,58.0
Daniel Davis,55.0
Daniel Day-Lewis,75.0
Daniel DeSanto,24.0
Daniel Di Biase,34.0
Daniel DiMaggio,64.0
Daniel Diemer,74.0
Daniel Dietrich,71.0
Daniel Doheny,63.5
Daniel Dorse,61.0
Daniel E. Smith,30.0
Daniel Edward Mora,49.4
Daniel Eghan,59.0
Daniel Emery Taylor,39.0
Daniel Eric Gold,51.166666666666664
Daniel Escobar,49.333333333333336
Daniel Escudero,84.0
Daniel Everidge,48.0
Daniel Fainman,35.0
Daniel Farag,3.0
Daniel Faraldo,41.25
Daniel Farcher,29.0
Daniel Fathers,62.0
Daniel Fox,28.333333333333332
Daniel Franco,61.0
Daniel Franzese,46.0
Daniel Frishman,65.0
Daniel Gerroll,47.285714285714285
Daniel Gerson,76.5
Daniel Gilchrist,79.0
Daniel Gillies,54.0
Daniel Giménez Cacho,54.5
Daniel Goddard,27.0
Daniel Gonzalez,73.0
Daniel Greene,46.0
Daniel Gélin,78.0
Daniel Hagen,57.0
Daniel Haggard,58.0
Daniel Hallberg,73.0
Daniel Halpern,55.0
Daniel Handler,52.0
Daniel Hansen,61.0
Daniel Henney,53.0
Daniel Henshall,55.0
Daniel Henson,67.0
Daniel Hinchcliffe,49.0
Daniel Hogarth,58.0
Daniel Holguín,48.0
Daniel Holzman,72.0
Daniel Horvath,50.0
Daniel Hugh Kelly,44.666666666666664
Daniel Huttlestone,59.333333333333336
Daniel J. Clancy,46.0
Daniel J. Molthen,53.0
Daniel J. Turnbull,42.0
Daniel James,42.0
Daniel Jeffrey Donaldson,36.0
Daniel Jenkins,43.5
Daniel Jenks,78.0
Daniel Jones,25.0
Daniel Jose Molina,56.0
Daniel Jude Gennis,17.0
Daniel Kalal,44.0
Daniel Kaluuya,70.66666666666667
Daniel Kash,58.25
Daniel Kong,28.0
Daniel Kozul,42.0
Daniel Krell,80.0
Daniel Kucan,36.0
Daniel Kyri,59.0
Daniel Lapaine,50.5
Daniel Leavitt,54.0
Daniel Lemus Valenzuela,67.0
Daniel Letterle,46.5
Daniel Levins,66.0
Daniel Lillford,67.0
Daniel Liu,83.0
Daniel London,62.666666666666664
Daniel Louis Rivas,58.0
Daniel Love,28.0
Daniel Lundh,39.0
Daniel Magder,39.0
Daniel Malik,83.0
Daniel Malony,55.0
Daniel Manche,49.666666666666664
Daniel Marconi,61.0
Daniel Margotta,28.5
Daniel Massey,53.0
Daniel Mays,57.6
Daniel Mazikowski,43.0
Daniel McDonald,10.0
Daniel Mesguich,27.0
Daniel Metz,74.0
Daniel Milder,41.0
Daniel Miranda,17.0
Daniel Mooney,43.0
Daniel Nalbach,70.0
Daniel Nathan Spector,57.0
Daniel Negreanu,45.0
Daniel Neiden,59.0
Daniel Newman,41.5
Daniel Norris,59.0
Daniel O'Callaghan,32.0
Daniel O'Shea,64.0
Daniel Okrent,70.0
Daniel Olbrychski,69.0
Daniel Oliver,48.0
Daniel Oreskes,49.666666666666664
Daniel P. Jones,64.0
Daniel Patrick Carbone,79.0
Daniel Patrick Moriarty,37.0
Daniel Peacock,51.0
Daniel Pearce,65.0
Daniel Percival,21.0
Daniel Pilon,49.0
Daniel Polo,54.0
Daniel Portman,42.0
Daniel Pérez Prada,47.0
Daniel Quinn,25.0
Daniel R. Christian,63.0
Daniel R. Hill,59.0
Daniel Radcliffe,64.11111111111111
Daniel Rashid,52.0
Daniel Ratimorský,57.0
Daniel Raymont,21.0
Daniel Read,51.0
Daniel Rey,54.0
Daniel Richter,84.0
Daniel Rindress-Kay,60.0
Daniel Riordan,31.75
Daniel Roebuck,50.0
Daniel Rojo,35.0
Daniel Ross,50.0
Daniel Ross Owens,34.333333333333336
Daniel Rovai,53.0
Daniel Ryan,62.0
Daniel Sabia,46.0
Daniel Salinas González,55.0
Daniel Sandoval,40.0
Daniel Sauli,48.8
Daniel Scheinert,69.0
Daniel Schorr,56.0
Daniel Schweiger,52.5
Daniel Scott Lumpkin Jr.,61.0
Daniel Shalikar,50.0
Daniel Sharman,42.0
Daniel Shaw,67.0
Daniel Sherman,63.0
Daniel Skelton,24.0
Daniel Southern,42.0
Daniel Spink,31.0
Daniel Spira,38.0
Daniel Stafford,54.0
Daniel Stern,55.5625
Daniel Stewart Sherman,54.125
Daniel Studi,52.0
Daniel Sunjata,42.6
Daniel T. Booth,46.0
Daniel Tay,54.0
Daniel Thomas May,40.0
Daniel Thrasher,51.0
Daniel Titmuss,39.0
Daniel Travis,63.0
Daniel Tuite,50.0
Daniel TwoFeathers,5.0
Daniel Valdez,73.0
Daniel Vereenooghe,77.0
Daniel Vernikovski,50.0
Daniel Vespa,28.0
Daniel Villarreal,64.5
Daniel Wachs,59.0
Daniel Walker,48.0
Daniel Wandelt,47.0
Daniel Washington,77.0
Daniel Webber,47.5
Daniel Weber,40.0
Daniel Wein,55.0
Daniel Wesley,30.0
Daniel Whyte,60.0
Daniel William Carter,46.0
Daniel Wu,44.0
Daniel Yabut,51.5
Daniel Yelsky,50.4
Daniel York,38.5
Daniel Zacapa,55.8
Daniel Zelman,51.0
Daniel Zolghadri,66.0
Daniel Zovatto,54.0
Daniel von Bargen,48.0
Daniela Barbosa,46.333333333333336
Daniela Galli,65.0
Daniela Hirsh,60.0
Daniela Kostova,55.0
Daniela Lavender,48.8
Daniela Malave,64.0
Daniela Nane,18.0
Daniela Norman,32.0
Daniela Romo,24.0
Daniela Sandiford,60.0
Daniela Valentine,72.0
Daniele Harford,82.0
Daniele Pecci,37.0
Daniele Teodoro,31.0
Daniella Alonso,24.666666666666668
Daniella Covino,82.0
Daniella De Jesús,54.0
Daniella Garcia,50.5
Daniella Kertesz,63.0
Daniella Kuhn,25.0
Daniella Markowicz,82.0
Daniella Monet,53.0
Daniella Pineda,57.333333333333336
Daniella Rabbani,61.0
Daniella Rich,66.0
Daniella Van Graas,39.0
Danielle Arnold,44.0
Danielle Bisutti,35.0
Danielle Bourgon,49.5
Danielle Brokopp,36.0
Danielle Brooks,59.25
Danielle Brown,56.0
Danielle Burgess,14.0
Danielle C. Ryan,34.666666666666664
Danielle Camastra,53.0
Danielle Campbell,44.333333333333336
Danielle Carter,41.0
Danielle Conner,67.0
Danielle Cormack,29.0
Danielle Cusson,43.0
Danielle Dallacco,12.0
Danielle Darrieux,90.0
Danielle Davenport,52.0
Danielle Drakes,58.0
Danielle DuClos,78.0
Danielle Dunn-Morris,37.0
Danielle Ferland,74.0
Danielle Garcia,9.0
Danielle Harris,44.23529411764706
Danielle Jarchow,63.0
Danielle Keaton,57.0
Danielle Kimberley,48.0
Danielle Klaudt,70.0
Danielle Kotch,44.0
Danielle Kronenberg,34.0
Danielle Lewis,30.0
Danielle Lilley,28.0
Danielle Lozeau,42.5
Danielle Lyn,63.0
Danielle Macdonald,56.142857142857146
Danielle Mary Wilskow,37.0
Danielle Melanie Brown,63.0
Danielle Muehlen,54.0
Danielle Nicolet,49.666666666666664
Danielle Noe,73.0
Danielle Orner,62.0
Danielle Panabaker,40.44444444444444
Danielle Polanco,50.0
Danielle Quinn,76.0
Danielle Rene,39.0
Danielle Riley,33.0
Danielle Rose Russell,46.666666666666664
Danielle Ryan,64.0
Danielle Safady,58.0
Danielle Saklofsky,34.0
Danielle Sapia,46.0
Danielle Savre,47.0
Danielle Silva Dos Santos,79.0
Danielle Simone,21.0
Danielle Skraastad,64.5
Danielle Smith,54.0
Danielle Todesco,72.0
Danielle Tripodis,19.0
Danielle Woodman,48.0
Danielle von Zerneck,61.333333333333336
Danijel Korsa,43.0
Danijela Stajnfeld,71.0
Danika Beckett,45.0
Danika Frederick,31.0
Danika Hendrickson,39.0
Danika Yarosh,44.333333333333336
Danila Kozlovsky,41.0
Danitra Vance,71.0
Daniël Boissevain,33.0
Danko Jordanov,22.0
Danmar,59.0
Dann Florek,45.0
Dannah Feinglass Phirman,54.0
Danneel Ackles,36.25
Danner Ignacio Márquez Arancibia,44.0
Danni Wheeler,42.0
Danni Wolcott,73.0
Danny 'Big Black' Rey,56.0
Danny A. Abeckaser,49.142857142857146
Danny Aiello,47.93333333333333
Danny Aiello III,34.0
Danny Alexander,36.5
Danny Arroyo,33.0
Danny Augustus,62.0
Danny B. Harvey,10.0
Danny Babington,70.0
Danny Beaton,30.0
Danny Belrose,48.5
Danny Binstock,43.0
Danny Blackner,64.0
Danny Blanco Hall,46.0
Danny Bolero,46.0
Danny Bonaduce,53.0
Danny Borbon,71.0
Danny Boushebel,48.0
Danny Burstein,51.0
Danny Callahan,74.0
Danny Capri,24.0
Danny Carey,38.0
Danny Cho,38.0
Danny Collins,32.0
Danny Comden,45.25
Danny Cooksey,60.5
Danny Corkill,60.0
Danny Cosmo,28.0
Danny Daniels,45.0
Danny Darrow,33.0
Danny Darst,65.0
Danny DeVito,54.84
Danny Deferrari,47.0
Danny Dennis,58.0
Danny Denzongpa,55.0
Danny Dyer,43.333333333333336
Danny Elfman,82.5
Danny Epper,45.0
Danny Erskine,57.0
Danny F Smith,45.0
Danny Fehsenfeld,5.0
Danny Fischer,57.0
Danny Flaherty,60.75
Danny Gans,73.0
Danny Glover,55.88
Danny Goldberg,20.0
Danny Goldman,72.5
Danny Goldring,59.5
Danny Guzman,23.0
Danny Hanemann,45.0
Danny Hassel,55.0
Danny Henriquez,72.0
Danny Hoch,60.0
Danny Huston,55.892857142857146
Danny Jacobs,46.0
Danny John-Jules,52.0
Danny Johnson,44.333333333333336
Danny Jones,29.0
Danny Kamekona,62.5
Danny Kamin,72.0
Danny Kennedy,67.0
Danny Keogh,19.0
Danny Keough,40.5
Danny Klein,81.0
Danny Kortchmar,92.0
Danny Kovacs,48.5
Danny Le Boyer,29.0
Danny Lloyd,66.0
Danny Lockin,51.0
Danny Mahoney,51.0
Danny Mann,65.2
Danny Masterson,51.25
Danny Mastrogiorgio,53.5
Danny McBride,52.25
Danny McCarthy,56.0
Danny McColgan,66.0
Danny Midwinter,26.0
Danny Miller,78.0
Danny Mills,47.0
Danny Minnick,49.0
Danny Mooney,67.0
Danny Mora,48.333333333333336
Danny Morgan,56.0
Danny Morris,61.0
Danny Murphy,65.5
Danny Nelson,60.5
Danny Nucci,60.0
Danny Nutt,65.0
Danny Pino,52.0
Danny Pintauro,57.0
Danny Pudi,55.5
Danny Quinn,34.0
Danny Ramirez,53.0
Danny Ray McDonald II,45.0
Danny Rhodes,64.5
Danny Rivera,66.0
Danny Rosen,65.0
Danny Sapani,61.0
Danny Schechter,64.0
Danny Scheie,50.0
Danny Scheinmann,49.0
Danny Schiller,65.0
Danny Shepherd,45.0
Danny Smith,31.0
Danny Strong,49.0
Danny Thomason,45.0
Danny Trejo,47.294117647058826
Danny Tucker,29.0
Danny Vasquez,45.0
Danny Vinson,58.285714285714285
Danny Wagner,31.0
Danny Wayne,35.0
Danny Webb,55.0
Danny Wells,55.0
Danny Woodburn,39.857142857142854
Danny Wooten,64.0
Danny Wylde,36.0
Danny Zorn,47.333333333333336
Danping Shen,42.0
Danso Gordon,37.5
Dante Basco,44.0
Dante Brown,47.5
Dante Crichlow,74.0
Dante DiPaolo,53.0
Dante Pereira-Olson,84.0
Dante Soriano,51.0
Dante Spinotti,31.0
Dante Walker,56.0
Dante Westergårdh,61.0
Danton Stone,40.4
Danube Hermosillo,52.0
Danuel Pipoly,49.0
Danusia Samal,52.0
Danuta Kowalska,24.0
Dany Boon,54.0
Dany Canino,78.0
Danya Elraz,49.0
Danyi Deats,73.0
Daníel Gylfason,68.0
Daoud Heidami,54.0
Daphna Kastner,65.0
Daphne Alexander,36.0
Daphne Carver,35.0
Daphne Duplaix,37.0
Daphne Fernberger,62.0
Daphne Hoskins,29.0
Daphne Rosen,46.0
Daphne Rubin-Vega,50.333333333333336
Daphne Wise,30.0
Daphne Zuniga,51.333333333333336
Dar Dash,48.0
Dar Robinson,31.0
Dara Coleman,62.0
Dara McGarry,61.0
Dara Perlmutter,65.0
Dara Tomanovich,1.0
Daragh Donnelly,75.0
Daran Norris,41.5
Darbie Nowatka,64.0
Darby Camp,52.5
Darby Dougherty,19.0
Darby Hawker,66.0
Darby McKinney,33.0
Darby Stanchfield,51.333333333333336
Darcas Macopson,33.0
Darcel White Moreno,39.0
Darci Shaw,66.0
Darcie Bradford,83.0
Darcie Lincoln,37.0
Darcie Mayo,38.0
Darcy Bryce,71.0
Darcy DeMoss,25.0
Darcy Donavan,63.0
Darcy Fehr,47.0
Darcy Fowler,43.0
Darcy Marta,65.0
Darcy Michael,44.0
Darcy Pulliam,69.0
Dared Wright,68.5
Daren Kagasoff,38.0
Daria Andrews,47.0
Daria Johns,63.0
Daria Kalinina,83.0
Daria Strokous,70.0
Darian Dauchan,55.0
Darien Berry,60.0
Darien Provost,56.0
Darien Sills-Evans,73.0
Darien Willardson,44.0
Darin Cooper,46.0
Darin De Paul,35.0
Darin Heames,38.0
Darin Johnson,5.0
Darin Morgan,25.0
Dario Barosso,65.5
Dario Cipani,49.0
Dario Conti,50.0
Dario D'Ambrosi,57.0
Dario Dukah,34.0
Dario Saraceno,75.0
Darion Basco,51.0
Darius Homayoun,33.5
Darius McCrary,42.666666666666664
Darius Miles,35.0
Darius Rose,52.0
Darius Tan,14.0
Darius Willis,63.0
Darius Yekati,37.0
Dariush Iran Nezhad,43.0
Dariush Kashani,43.0
Dariusz M. Uczkowski,66.0
Darja Schabad,47.0
Darko Cesar,48.0
Darla Fay,81.0
Darlanne Fluegel,53.333333333333336
Darleen Carr,65.5
Darlene Bohorquez,61.0
Darlene Cates,48.5
Darlene Conley,71.0
Darlene Cooke,73.0
Darlene Garr,49.5
Darlene Hunt,48.5
Darlene Johnson,36.0
Darlene Love,53.75
Darlene Stuto,62.0
Darlene Tompkins,58.0
Darlene Violette,54.0
Darlington Michaels,71.0
Darneicea Corley,76.0
Darnell Williams,41.0
Daron Stewart,57.0
Darrel Campbell,11.0
Darrel Guilbeau,54.0
Darrell Britt,20.0
Darrell Britt-Gibson,70.2
Darrell Bryant,62.0
Darrell D'Silva,47.0
Darrell Fetty,54.0
Darrell Foster,65.0
Darrell Hammond,30.5
Darrell James,52.0
Darrell Larson,53.0
Darrell Lenormand,60.0
Darrell Orydzuk,68.0
Darrell Sandeen,60.0
Darrell Vanterpool,61.0
Darrell Waltrip,58.0
Darrell Zwerling,64.0
Darren Boyd,57.0
Darren Bridgett,69.0
Darren Criss,42.5
Darren Dalton,48.0
Darren Doane,18.0
Darren Dolynski,33.0
Darren Drude,23.0
Darren Dunstan,15.0
Darren E. Burrows,57.0
Darren E. Scott,22.0
Darren Evans,76.0
Darren Ewing,53.0
Darren Fouse,23.0
Darren Goldstein,53.666666666666664
Darren Grodsky,54.0
Darren Joel,62.0
Darren Keefe Reiher,44.0
Darren Kent,35.0
Darren Lee,46.0
Darren MacDonald,42.0
Darren McGavin,39.2
Darren Moore,52.0
Darren O'Hare,33.0
Darren Pettie,34.5
Darren Prolsen,84.0
Darren Ritchie,64.0
Darren Robinson,37.0
Darren Ross,33.5
Darren Shahlavi,21.333333333333332
Darren Wall,58.0
Darren Whitfield,56.0
Darrian McClanahan,38.0
Darrie Lawrence,58.0
Darrin Bragg,30.0
Darrin Dewitt Henson,38.2
Darrin Mitchell,54.0
Darrin Reed,45.0
Darris Love,37.0
Darron Johnson,32.0
Darron Meyer,54.0
Darrow Igus,62.5
Darryl Alan Reed,73.0
Darryl Chan,53.0
Darryl Cox,74.0
Darryl Henriques,32.5
Darryl Hickman,58.75
Darryl McDaniels,37.0
Darryl Nau,73.0
Darryl Quon,40.5
Darryl Scheelar,16.5
Darryl Stephens,50.5
Darryl Van Leer,25.0
Darshan Jariwala,56.0
Dartanian Sloan,30.0
Dartanyan Edmonds,46.0
Darvez Ballen,60.0
Darwin Gillett,46.0
Darwin Haine,76.0
Darwin Joston,88.0
Darwin Shaw,37.0
Darwyn Swalve,16.0
Darya Charusha,51.0
Darya Ekamasova,53.5
Daryl Anderson,56.0
Daryl Dismond,21.0
Daryl Edwards,58.25
Daryl Freimark,52.0
Daryl Gates,62.0
Daryl Gilley,50.0
Daryl Haney,31.0
Daryl Hannah,52.21739130434783
Daryl Keith Roach,43.666666666666664
Daryl Mitchell,47.42857142857143
Daryl Montgomery,40.0
Daryl Sabara,54.36363636363637
Daryl Shuttleworth,54.0
Daryl Wein,56.0
Daryn Kahn,36.0
Dascala,29.0
Dascha Polanco,44.666666666666664
Dash Goff,45.0
Dash Mann,52.0
Dash Mihok,49.23809523809524
Dash Stratton,63.0
Dash Williams,26.0
Dasha Nekrasova,83.0
Dasha Volga,48.0
Dashaun Wesley,60.0
Dashiell Eaves,57.0
Dasi Ruz,23.0
Datekiv Kharibyan,68.0
Dato Bakhtadze,46.75
Dato Taiklauri,76.0
Daud Khan,74.0
Dave,40.0
Dave 'Squatch' Ward,40.5
Dave Allen,44.666666666666664
Dave Allen Clark,63.0
Dave Annable,24.5
Dave Attell,53.0
Dave Austin,60.0
Dave B. Mitchell,49.0
Dave Baez,55.0
Dave Bald Eagle,56.666666666666664
Dave Bannick,30.0
Dave Barry,98.0
Dave Bautista,52.76923076923077
Dave Bean,35.0
Dave Blamy,34.333333333333336
Dave Boner,49.0
Dave Bresnahan,77.0
Dave Brown,31.0
Dave Bynum,70.0
Dave Chappelle,50.09090909090909
Dave Clark,65.0
Dave Cloud,33.0
Dave Coulier,40.0
Dave Davis,53.5
Dave Dawson,33.0
Dave Donaldson,54.0
Dave Duffy,53.0
Dave Emerson,24.0
Dave Engfer,64.0
Dave Florek,41.0
Dave Foley,46.0
Dave Franco,56.88235294117647
Dave Gilloran,71.0
Dave Goelz,66.16666666666667
Dave Grohl,55.0
Dave Hager,65.0
Dave Haskell,41.0
Dave Hawley,63.0
Dave Hill,75.0
Dave Hobbs,57.0
Dave Holmes,45.333333333333336
Dave Hubner,80.0
Dave Hugas,16.0
Dave K. Williams,58.0
Dave Kelly,64.0
Dave Kenneth MacKinnon,37.0
Dave Kuhr,41.0
Dave Legeno,61.333333333333336
Dave Mack,42.0
Dave Mallow,44.0
Dave Matthews,42.5
Dave Mazzie,88.0
Dave Narby,44.0
Dave Neal,43.0
Dave Nichols,49.0
Dave O'Brien,70.0
Dave Olson,58.0
Dave Patten,44.0
Dave Petitjean,75.0
Dave Pope,50.0
Dave Power,54.75
Dave Powers,47.0
Dave Reeves,28.0
Dave Rosenbaum,56.0
Dave Ruby,27.0
Dave Salerno,80.0
Dave Sheridan,35.92307692307692
Dave Simonds,55.0
Dave Snowbear Toms,29.0
Dave Street,54.0
Dave T. Koenig,46.5
Dave Tanner,81.0
Dave Terry,70.0
Dave Thomas,44.666666666666664
Dave Trimble,71.0
Dave Vescio,30.0
Dave Waheed,54.0
Dave Willis,54.0
Dave Willock,75.0
Daveed Diggs,68.0
Daveed Ramsay,30.0
Daveigh Chase,60.0
Davenia McFadden,50.0
Davetta Sherwood,25.0
Davey Havok,34.0
Davey Johnson,64.33333333333333
Davi Santos,43.0
Davia Nelson,48.0
David 'Doc' Bennett,81.0
David A Cole,52.0
David A. Cooper,58.0
David A. Dunham,56.0
David A. Flannery,52.5
David A. Gregory,17.0
David A. Parker,62.0
David A.R. White,21.333333333333332
David Aaron Baker,55.833333333333336
David Abbott,31.0
David Abeles,61.0
David Ackert,65.0
David Acord,54.0
David Adams,54.666666666666664
David Adler,70.0
David Agranov,28.0
David Agresta,26.0
David Ajala,44.0
David Alan Barclay,50.0
David Alan Basche,61.714285714285715
David Alan Graf,49.5
David Alan Grier,45.142857142857146
David Alan Smith,30.0
David Albiero,74.0
David Alexander,59.0
David Alexanian,64.0
David Alford,53.0
David Allen Brooks,73.0
David Alpay,39.0
David Alvarado,55.0
David Amos,41.0
David Anders,57.0
David Anderson,22.0
David Andrew Macdonald,74.0
David Andrews,49.18181818181818
David Andriole,40.0
David Annen,52.0
David Anthony Higgins,52.0
David Anthony Marshall,37.5
David Anthony Smith,32.0
David Anzuelo,43.75
David Apicella,51.0
David Ari,53.0
David Arkin,87.66666666666667
David Arnott,36.25
David Arntzen,72.0
David Arquette,44.416666666666664
David Arrow,49.0
David Arthur Sousa,87.0
David Asavanond,52.0
David Asman,24.0
David Aston,58.5
David Atkinson,37.0
David Atrakchi,44.0
David August Lindauer,64.0
David Backus,28.666666666666668
David Baer,51.0
David Baerwald,46.0
David Bailey,30.0
David Bailie,55.0
David Bair,74.0
David Bamber,56.5
David Banner,60.0
David Barber,54.0
David Bark-Jones,34.0
David Barrash,33.0
David Barrera,33.0
David Barton Harris,26.0
David Bates,58.0
David Battley,67.0
David Bauer,82.5
David Baukham,55.0
David Baxt,66.0
David Beach,58.0
David Bean,86.0
David Beard,50.0
David Beck,27.0
David Bedella,39.0
David Begg,54.0
David Belenky,48.0
David Bell,82.0
David Belle,41.0
David Benger,82.0
David Bennent,30.0
David Bennett,55.0
David Berkson,91.0
David Berman,55.0
David Berner,46.0
David Bernon,57.0
David Berridge,74.0
David Bianchi,65.0
David Bierend,53.0
David Birkin,19.0
David Birney,35.0
