Performer,Metascore
Abe Pagtama,54.0
Abe Simon,91.0
Abe Spigner,15.0
Abe Vigoda,59.25
Abede Burke,45.0
Abel Becerra,62.666666666666664
Abel Ferrara,46.25
Abel Folk,54.666666666666664
Abel Franco,52.0
Abel Jafri,56.0
Abel Lopez Marroquin,54.0
Abel McSurely Bradshaw,59.0
Abel Perez,87.0
Abel Salas,55.0
Abel Tekeste,52.0
Abel Woolrich,36.0
Abelardo Ghoulam,40.0
Abella Wyss,27.0
Abena Ayivor,65.0
Abhi Sinha,42.0
Abhishek Bharate,69.0
Abi Obisesan,77.0
Abi Van Andel,72.0
Abigail Bianca,45.0
Abigail Breslin,56.68421052631579
Abigail Canton,34.0
Abigail Clayton,22.0
Abigail Falle,58.0
Abigail Hargrove,63.0
Abigail Hopkins,84.0
Abigail Johns,55.0
Abigail Lenz,47.0
Abigail Lowe,54.0
Abigail Mavity,37.5
Abigail McFarlane,53.0
Abigail Pniowsky,81.0
Abigail Revasch,44.0
Abigail Spencer,38.125
Abigail Van Alyn,43.0
Abimana Aryasatya,69.0
Abner Expósito,76.0
Abra,56.0
Abraham Aronofsky,68.33333333333333
Abraham Attah,76.0
Abraham Benrubi,52.93333333333333
Abraham Bresky,81.0
Abraham Clinkscales,44.0
Abraham Lewis,50.0
Abraham Lim,71.0
Abraham Unger,61.0
Abraham Verduzco,55.0
Abram Lewis-Rosenblum,32.0
Abram Rooney,79.0
Abraxas Adams,86.0
Absalom Adams,68.0
Abu Bakaar Fofanah,63.0
Abu Bakr Mirre,65.0
Abubakar Mwenda,56.0
Ace,14.0
Ace Bhatti,46.0
Ace Gibson,37.0
Ace Marrero,28.0
Ace Mask,39.0
Ace Yonamine,30.0
Achilles Tsakiridis,34.0
Achim Buchner,62.0
Ada Carrasco,62.0
Ada Luz Pla,40.0
Ada Maris,70.0
Ada McSpade,72.0
Ada Tai,58.0
Ada Washington,68.0
Adael Irizarry,71.0
Adalyn Jones,77.0
Adam Aalderks,46.0
Adam Agee,31.0
Adam Alexi-Malle,57.333333333333336
Adam Ambruso,29.0
Adam Anderly,27.0
Adam Ant,48.0
Adam Arkin,50.142857142857146
Adam B. Shapiro,23.0
Adam Bakri,63.0
Adam Baldwin,59.27272727272727
Adam Barnett,41.0
Adam Barr,66.0
Adam Barrie,46.0
Adam Bartley,66.5
Adam Beach,47.25
Adam Beauchesne,65.0
Adam Bengis,39.0
Adam Benic,52.0
Adam Bensallah,55.0
Adam Bieshaar,28.0
Adam Bitterman,71.0
Adam Bloch,49.0
Adam Bowes,28.0
Adam Boyer,65.5
Adam Bratcher,61.0
Adam Bregman,48.0
Adam Brody,46.51851851851852
Adam Brooks,45.0
Adam Brown,55.5
Adam Bryant,61.0
Adam Busch,54.0
Adam Butcher,32.0
Adam C. Edwards,76.0
Adam Cagley,34.0
Adam Campbell,30.0
Adam Cantor,55.0
Adam Capriolo,71.0
Adam Carbone,67.0
Adam Carolla,57.75
Adam Celentano,39.0
Adam Chambers,32.0
Adam Chanler-Berat,44.0
Adam Charity,45.0
Adam Clark,41.0
Adam Collins,45.0
Adam Copeland,21.0
Adam Cornelius,49.0
Adam Cranner,17.0
Adam Cravens,31.0
Adam Croasdell,21.0
Adam Curry,45.0
Adam Daveline,64.0
Adam David Thompson,63.285714285714285
Adam David Winkler,64.0
Adam Davidson,39.0
Adam Del Rio,50.0
Adam Devine,49.81818181818182
Adam DiMarco,49.0
Adam Dietlein,55.0
Adam Dietrich,84.0
Adam Donaghey,55.0
Adam Donkin,52.0
